"research_id","status_id","date_at","history_note","instant_name","history_id"
4619,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10356
4620,2,"2018-12-28","Inicio de investigacion","Nuevo",9538
4621,2,"2018-12-28","Inicio de investigacion","Nuevo",9539
4622,2,"2018-12-28","Inicio de investigacion","Nuevo",9540
4623,2,"2018-12-28","Inicio de investigacion","Nuevo",9541
4624,2,"2018-12-28","Inicio de investigacion","Nuevo",9542
4625,2,"2018-12-28","Inicio de investigacion","Nuevo",9543
4625,4,"2019-12-27","Culminado al 27-12-2019 presento :  -Informe final -Articulo cientifico -CD","Culminado",10460
4626,2,"2018-12-28","Inicio de investigacion","Nuevo",9544
4627,2,"2018-12-28","Inicio de investigacion","Nuevo",9545
4627,4,"2019-12-27","Culminado al 27-12-2019 presento :  -Informe final -Articulo cientifico -CD","Culminado",10457
4628,2,"2018-12-28","Inicio de investigacion","Nuevo",9546
4629,2,"2018-12-28","Inicio de investigacion","Nuevo",9547
4629,4,"2019-12-27","Culminado al 27-12-2019 presento :  -Informe final -Articulo cientifico -CD","Culminado",10453
4630,2,"2019-02-11","Inicio de investigacion","Nuevo",9548
4631,2,"2018-12-28","Inicio de investigacion","Nuevo",9549
4631,4,"2019-12-27","Culminado al 27-12-2019 presento :  -Informe final -Articulo cientifico -CD","Culminado",10463
4632,2,"2018-12-28","Inicio de investigacion","Nuevo",9550
4632,4,"2019-12-27","Culminado al 27-12-2019 presento :  -Informe final -Articulo cientifico -CD","Culminado",10483
4637,2,"2018-12-28","Inicio de investigacion","Nuevo",9551
4637,4,"2019-12-27","Culminado al 27-12-2019 presento :  -Informe final -Articulo cientifico -CD","Culminado",10489
4638,2,"2018-12-28","Inicio de investigacion","Nuevo",9552
4639,2,"2018-12-28","Inicio de investigacion","Nuevo",9553
4640,2,"2018-12-28","Inicio de investigacion","Nuevo",9554
4640,4,"2019-12-27","Culminado al 27-12-2019 presento :  -Informe final -Articulo cientifico -CD","Culminado",10469
4641,2,"2018-12-28","Inicio de investigacion","Nuevo",9555
4642,2,"2018-12-28","Inicio de investigacion","Nuevo",9556
4642,4,"2019-06-28","Culminado al 28-06-2019 presento :  -Informe final","Culminado",9969
4643,2,"2018-12-28","Inicio de investigacion","Nuevo",9557
4643,3,"2019-04-03","En Ejecucion al 03-04-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9775
4643,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10042
4643,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10232
4643,5,"2020-01-28","Suspendido al 28-01-2020","Suspendido",10432
4643,3,"2020-06-19","En Ejecucion al 19-06-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10821
4643,3,"2020-07-20","En Ejecucion al 20-07-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10822
4643,3,"2020-08-20","En Ejecucion al 20-08-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10823
4643,3,"2020-09-30","En Ejecucion al 30-09-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10894
4643,3,"2020-12-30","En Ejecucion al 30-12-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10958
4643,4,"2020-12-30","Culminado al 30-12-2020 presento :  -Informe final -Articulo cientifico -CD","Culminado",10959
4644,2,"2018-12-28","Inicio de investigacion","Nuevo",9558
4645,2,"2018-12-28","Inicio de investigacion","Nuevo",9559
4645,3,"2019-03-29","En Ejecucion al 29-03-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9800
4645,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9949
4645,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10181
4645,4,"2019-12-31","Culminado al 31-12-2019 presento :  -Informe final","Culminado",10423
4646,2,"2018-12-28","Inicio de investigacion","Nuevo",9560
4646,3,"2019-03-29","En Ejecucion al 29-03-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9799
4646,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10002
4646,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10180
4646,3,"2019-12-31","En Ejecucion al 31-12-2019 presento :  -Informe Trimestral","En Ejecucion",10422
4647,2,"2018-12-28","Inicio de investigacion","Nuevo",9570
4647,6,"2019-07-24","Anulado al 24-07-2019","Anulado",9961
4647,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10380
4647,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10381
4647,4,"2020-08-28","Culminado al 28-08-2020 presento :  -Informe final -Articulo cientifico -CD","Culminado",10783
4648,2,"2018-12-28","Inicio de investigacion","Nuevo",9571
4648,3,"2019-03-29","En Ejecucion al 29-03-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9777
4648,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10046
4648,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10234
4648,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10375
4648,3,"2020-03-20","En Ejecucion al 20-03-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10676
4648,3,"2020-06-19","En Ejecucion al 19-06-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10677
4648,3,"2020-07-31","En Ejecucion al 31-07-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10678
4648,3,"2020-08-28","En Ejecucion al 28-08-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10778
4649,2,"2018-12-28","Inicio de investigacion","Nuevo",9572
4649,3,"2019-03-29","En Ejecucion al 29-03-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",9783
4649,3,"2019-06-28","En Ejecucion al 28-06-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10050
4649,3,"2019-09-27","En Ejecucion al 27-09-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10247
4649,3,"2019-12-27","En Ejecucion al 27-12-2019 presento :  -Informe Trimestral -Carta","En Ejecucion",10391
4649,3,"2020-03-20","En Ejecucion al 20-03-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10654
4649,3,"2020-06-19","En Ejecucion al 19-06-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10655
4649,3,"2020-07-31","En Ejecucion al 31-07-2020 presento :  -Informe Trimestral -Carta","En Ejecucion",10656
