"type","type_name","name","date","research_id"
NULL,NULL,"Utilizacion de enzimas celulosas y fitasa obtenmidas a partir de hongos nativos de la amazonia peruana como aditivos en la alimentacion de pollos de carne.","2002-06-21",948
2,"Articulo cientifico","Perfil psicopedagogico de estudiantes universitaios sobresalientes: Estudio comparativo  longitudinal.","2002-06-20",14
NULL,NULL,"Implicancias de normas tributarias y gubernametalesen la gention de unidades productivas, de las entidades publicas.","2002-06-13",265
NULL,NULL,"Control de la clorosis del cacao (Theobroma cacao L.) a nivel de vivero utilizando fuentes de materia organica.","2002-06-13",164
NULL,NULL,"Un modelo econometrico uniecuacional para el consumo domestico de energia electrica en Tingo Maria.","2002-06-08",661
NULL,NULL,"Determinacion de la difusividad termica de la Fariña (derivado de la yuca Manihot esculenta, Crantz) en funcion a la humedad.","2002-06-07",485
NULL,NULL,"Obtencion y evaluacion del carbon activado a partir de la cascara-semilla de aguaje y cascara de coco.","2002-06-07",483
2,"Articulo cientifico","Efectos de factores cualitativos y cuantitativos en la elaboracion y ejecucion de proyectos de inversion: metodo de valoracion contingente.","2002-06-05",327
NULL,NULL,"Implementacion de una cooperativa de servicios  para capacitacion de los profesionales en la Universidad Nacional Agraria de la Selva.","2002-06-03",382
NULL,NULL,"Estudio de la variacion estacional de los microorganismos de los suelos de Tingo Maria.","2002-06-03",1072
NULL,NULL,"Reconstruccion de contenidos con enfasis en concentracion isometrica: tecnica de estudio vivencial universitario.","2002-06-01",48
NULL,NULL,"Influencia de fuentes y niveles de materia organica en el crecimiento de plantones de cafe (Coffea arabica L.) variedad caturra","2002-06-01",167
NULL,NULL,"Estudio tecnico-economico para la construccion de una vivienda de madera en zonas rurales en la provincia de Leoncio Prado.","2002-06-01",118
2,"Articulo cientifico","Incidencia de los eventos feriales en la Agro-Insdutria primaria de distrito de Rupa Rupa.","2002-05-31",15
2,"Articulo cientifico","Texto: Gestion Estrategica de la Microempresa y Pequeña Empresa","2002-05-31",9
2,"Articulo cientifico","La nueva dimension cognitiva de la Contabilidad en relacion a las exigencias del nuevo entorno economico","2002-05-31",250
2,"Articulo cientifico","Situacion de la Estadisitica Descriptiva en la Toma de Decisiones Academicas de la Universidad Nacional Agraria de la Selva.","2002-05-29",13
NULL,NULL,"Contribucion al estudio quimico del sacha culantro (Eryngium foetidum L.).","2002-05-23",3514
2,"Articulo cientifico","Indicadores de gestion y desarrollo de la Universidad Nacional Agraria de la Selva","2002-05-23",418
2,"Articulo cientifico","Estudio de los componentes fisicos, quimicos y biologicos del agua de consumo del poblado ""Puente Prado"".","2002-05-23",430
NULL,NULL,"Evaluacion nutricional del ensilado de pasto elefante (Pennisetum purpuream) con dos niveles de maleza.","2002-05-20",946
2,"Articulo cientifico","Educacion ambiental en las instituciones educativas de nivel primaria del distrito de Padre Felipe Luyando.","2002-05-18",308
2,"Articulo cientifico","Modelo de Sucesion Ecologica en los Bosques Fragmentados de la Cordillera Carpish, Huanuco - Peru","2002-05-18",2
2,"Articulo cientifico","Evaluacion del cultivo de canavalia (Canavalia ensiformis) como cobertura en sistemas agroforestales con base cacao y su inclusion del grano en la racion para pollos de carne, en la Provincia de Leoncio Prado, departamento de Huanuco.","2002-05-15",4
NULL,NULL,"Factores limitantes de los sistemas de produccion bovina extensiva en el distrito de Curimana (Selva Baja) - Aguaytia.","2002-05-15",3064
2,"Articulo cientifico","Comportamiento financiero de las Empresas Comerciales de Tingo Maria.","2002-05-15",346
NULL,NULL,"Estudios de diagnostico de los sistemas de produccion agraria del bajo Monzon-provincia Huamalies.","2002-05-15",3062
