"research_id","role","author_id","name","responsible_id"
4452,"Tesista",3766,"Proyecto de Tesis",16771
4453,"Tesista",3767,"Proyecto de Tesis",16773
4453,"Asesor",67,"Proyecto de Tesis",16774
4454,"Miembro extraordinario",80,"Proyecto de Investigacion",16776
4454,"Miembro ordinario",69,"Proyecto de Investigacion",16775
4455,"Miembro extraordinario",50,"Proyecto de Investigacion",16778
4455,"Miembro ordinario",344,"Proyecto de Investigacion",16777
4456,"Miembro ordinario",167,"Proyecto de Investigacion",16779
4456,"Miembro extraordinario",349,"Proyecto de Investigacion",16780
4456,"Otros",166,"Proyecto de Investigacion",16781
4456,"Otros",165,"Proyecto de Investigacion",16783
4456,"Otros",380,"Proyecto de Investigacion",16782
4457,"Miembro ordinario",165,"Proyecto de Investigacion",16784
4457,"Miembro extraordinario",348,"Proyecto de Investigacion",16785
4457,"Miembro equipo de trabajo",347,"Proyecto de Investigacion",16786
4457,"Otros",349,"Proyecto de Investigacion",16787
4457,"Otros",382,"Proyecto de Investigacion",16788
4458,"Tesista",3768,"Proyecto de Tesis",16789
4458,"Asesor",159,"Proyecto de Tesis",16790
4459,"Asesor",348,"Proyecto de Tesis",16792
4459,"Tesista",3769,"Proyecto de Tesis",16791
4460,"Tesista",3771,"Proyecto de Tesis",16794
4460,"Asesor",358,"Proyecto de Tesis",16795
4461,"Tesista",3772,"Proyecto de Tesis",16798
4461,"Asesor",358,"Proyecto de Tesis",16799
4462,"Asesor",358,"Proyecto de Tesis",16803
4462,"Tesista",3773,"Proyecto de Tesis",16802
4463,"Asesor",358,"Proyecto de Tesis",16807
4463,"Tesista",3774,"Proyecto de Tesis",16806
4464,"Tesista",3775,"Proyecto de Tesis",16810
4464,"Asesor",350,"Proyecto de Tesis",16811
4465,"Tesista",3776,"Proyecto de Tesis",16812
4465,"Asesor",350,"Proyecto de Tesis",16813
4466,"Miembro ordinario",32,"Proyecto de Investigacion",16814
4466,"Miembro extraordinario",43,"Proyecto de Investigacion",16815
4467,"Miembro extraordinario",186,"Proyecto de Investigacion",16817
4467,"Miembro ordinario",32,"Proyecto de Investigacion",16816
4468,"Miembro ordinario",31,"Proyecto de Investigacion",16818
4468,"Miembro extraordinario",40,"Proyecto de Investigacion",16819
4469,"Miembro extraordinario",325,"Proyecto de Investigacion",16821
4469,"Miembro ordinario",3759,"Proyecto de Investigacion",16820
4469,"Miembro equipo de trabajo",3411,"Proyecto de Investigacion",16822
4470,"Miembro extraordinario",95,"Proyecto de Investigacion",16824
4470,"Miembro ordinario",335,"Proyecto de Investigacion",16823
4471,"Asesor",235,"Proyecto de Tesis",16826
4471,"Co-Asesor",187,"Proyecto de Tesis",16827
4471,"Tesista",3547,"Proyecto de Tesis",16825
4472,"Asesor",97,"Proyecto de Tesis",16829
4472,"Tesista",3777,"Proyecto de Tesis",16828
4473,"Miembro ordinario",162,"Proyecto de Investigacion",16830
4474,"Tesista",3778,"Proyecto de Tesis",16831
4474,"Asesor",92,"Proyecto de Tesis",16832
4474,"Co-Asesor",91,"Proyecto de Tesis",16833
4475,"Asesor",91,"Proyecto de Tesis",16835
4475,"Tesista",3779,"Proyecto de Tesis",16834
4476,"Asesor",187,"Proyecto de Tesis",16837
4476,"Tesista",3780,"Proyecto de Tesis",16836
4477,"Tesista",3781,"Proyecto de Tesis",16838
4477,"Asesor",366,"Proyecto de Tesis",16839
4478,"Asesor",73,"Proyecto de Tesis",16841
4478,"Tesista",3782,"Proyecto de Tesis",16840
4479,"Asesor",90,"Proyecto de Tesis",16843
4479,"Tesista",3783,"Proyecto de Tesis",16842
4479,"Co-Asesor",366,"Proyecto de Tesis",16844
4480,"Tesista",3784,"Proyecto de Tesis",16845
4480,"Asesor",394,"Proyecto de Tesis",16846
4480,"Co-Asesor",98,"Proyecto de Tesis",16847
4481,"Tesista",3785,"Proyecto de Tesis",16848
4481,"Asesor",95,"Proyecto de Tesis",16849
4482,"Asesor",187,"Proyecto de Tesis",16851
4482,"Tesista",3786,"Proyecto de Tesis",16850
4483,"Asesor",82,"Proyecto de Tesis",16853
4483,"Tesista",3787,"Proyecto de Tesis",16852
4484,"Tesista",3788,"Proyecto de Tesis",16854
4484,"Asesor",187,"Proyecto de Tesis",16855
4485,"Asesor",187,"Proyecto de Tesis",16857
4485,"Tesista",3789,"Proyecto de Tesis",16856
4486,"Asesor",365,"Proyecto de Tesis",16859
4486,"Tesista",3790,"Proyecto de Tesis",16858
4487,"Tesista",3791,"Proyecto de Tesis",16860
4487,"Asesor",82,"Proyecto de Tesis",16861
4488,"Tesista",3792,"Proyecto de Tesis",16862
4488,"Asesor",235,"Proyecto de Tesis",16863
4488,"Co-Asesor",187,"Proyecto de Tesis",16864
4489,"Tesista",3793,"Proyecto de Tesis",16865
4489,"Asesor",82,"Proyecto de Tesis",16866
4490,"Tesista",3794,"Proyecto de Tesis",16867
4490,"Asesor",82,"Proyecto de Tesis",16868
4491,"Tesista",3795,"Proyecto de Tesis",16869
4491,"Asesor",82,"Proyecto de Tesis",16870
4492,"Asesor",69,"Proyecto de Tesis",16872
4492,"Tesista",3796,"Proyecto de Tesis",16871
4493,"Asesor",335,"Proyecto de Tesis",16874
4493,"Tesista",3797,"Proyecto de Tesis",16873
4494,"Tesista",3798,"Proyecto de Tesis",16875
4494,"Asesor",397,"Proyecto de Tesis",16876
4495,"Miembro ordinario",335,"Proyecto de Investigacion",16877
4495,"Miembro extraordinario",95,"Proyecto de Investigacion",17161
4496,"Miembro equipo de trabajo",138,"Proyecto de Investigacion",16880
4496,"Otros",136,"Proyecto de Investigacion",16881
4496,"Otros",140,"Proyecto de Investigacion",16882
4496,"Miembro ordinario",351,"Proyecto de Investigacion",16878
4496,"Miembro extraordinario",141,"Proyecto de Investigacion",16879
4497,"Miembro extraordinario",137,"Proyecto de Investigacion",16884
4497,"Miembro ordinario",139,"Proyecto de Investigacion",16883
4498,"Miembro extraordinario",116,"Proyecto de Investigacion",16886
4498,"Miembro ordinario",121,"Proyecto de Investigacion",16885
4499,"Miembro ordinario",334,"Proyecto de Investigacion",16887
4499,"Miembro extraordinario",129,"Proyecto de Investigacion",16888
4499,"Miembro extraordinario",3799,"Proyecto de Investigacion",16889
4500,"Asesor",61,"Proyecto de Tesis",16891
4500,"Co-Asesor",196,"Proyecto de Tesis",16892
4500,"Tesista",3800,"Proyecto de Tesis",16890
4501,"Asesor",343,"Proyecto de Tesis",16894
4501,"Tesista",3801,"Proyecto de Tesis",16893
4502,"Tesista",3802,"Proyecto de Tesis",16897
4502,"Asesor",343,"Proyecto de Tesis",16898
4503,"Asesor",41,"Proyecto de Tesis",16902
4503,"Tesista",3803,"Proyecto de Tesis",16901
4504,"Tesista",3804,"Proyecto de Tesis",16905
4504,"Asesor",346,"Proyecto de Tesis",16906
4505,"Asesor",25,"Proyecto de Tesis",16910
4505,"Tesista",3805,"Proyecto de Tesis",16909
4506,"Asesor",20,"Proyecto de Tesis",16914
4506,"Tesista",3806,"Proyecto de Tesis",16913
4507,"Tesista",3737,"Proyecto de Tesis",16917
4507,"Asesor",64,"Proyecto de Tesis",16918
4508,"Tesista",3308,"Proyecto de Tesis",16921
4508,"Asesor",61,"Proyecto de Tesis",16922
4509,"Tesista",3807,"Proyecto de Tesis",16925
4509,"Asesor",348,"Proyecto de Tesis",16926
4510,"Asesor",15,"Proyecto de Tesis",16932
4510,"Tesista",3808,"Proyecto de Tesis",16931
4511,"Tesista",3809,"Proyecto de Tesis",16935
4511,"Asesor",1029,"Proyecto de Tesis",16936
4512,"Tesista",3810,"Proyecto de Tesis",16937
4512,"Asesor",1029,"Proyecto de Tesis",16938
4514,"Asesor",97,"Proyecto de Tesis",16942
4514,"Tesista",3811,"Proyecto de Tesis",16941
4515,"Co-Asesor",3814,"Proyecto de Tesis",16946
4515,"Asesor",91,"Proyecto de Tesis",16945
4515,"Tesista",3813,"Proyecto de Tesis",16944
4516,"Asesor",366,"Proyecto de Tesis",16948
4516,"Tesista",3815,"Proyecto de Tesis",16947
4517,"Co-Asesor",3816,"Proyecto de Tesis",16951
4517,"Tesista",3183,"Proyecto de Tesis",16949
4517,"Asesor",191,"Proyecto de Tesis",16950
4518,"Tesista",3817,"Proyecto de Tesis",16952
4518,"Asesor",91,"Proyecto de Tesis",16953
4518,"Co-Asesor",80,"Proyecto de Tesis",16954
4519,"Asesor",366,"Proyecto de Tesis",16956
4519,"Tesista",3818,"Proyecto de Tesis",16955
4571,"Asesor",91,"Proyecto de Tesis",16958
4571,"Tesista",3819,"Proyecto de Tesis",16957
4572,"Tesista",3820,"Proyecto de Tesis",16959
4572,"Asesor",91,"Proyecto de Tesis",16960
4573,"Tesista",3821,"Proyecto de Tesis",16963
4573,"Asesor",85,"Proyecto de Tesis",16964
4574,"Asesor",15,"Proyecto de Tesis",16966
4574,"Tesista",3822,"Proyecto de Tesis",16965
4575,"Tesista",3823,"Proyecto de Tesis",16967
4575,"Asesor",79,"Proyecto de Tesis",16968
4576,"Asesor",2632,"Proyecto de Tesis",16970
4576,"Tesista",3011,"Proyecto de Tesis",16969
4577,"Co-Asesor",6,"Proyecto de Tesis",16973
4577,"Tesista",3824,"Proyecto de Tesis",16971
4577,"Asesor",3759,"Proyecto de Tesis",16972
4578,"Tesista",3825,"Proyecto de Tesis",16974
4578,"Asesor",82,"Proyecto de Tesis",16975
4579,"Tesista",3826,"Proyecto de Tesis",16976
4579,"Asesor",187,"Proyecto de Tesis",16977
4580,"Asesor",82,"Proyecto de Tesis",16979
