"role_name","outcome_id","author_id"
"Miembro ordinario",4078,84
"Miembro ordinario",4145,84
"Miembro ordinario",4153,84
"Miembro extraordinario",3901,346
"Miembro extraordinario",3453,177
"Miembro extraordinario",3438,177
"Miembro extraordinario",3415,177
"Miembro extraordinario",3401,177
"Miembro extraordinario",3397,177
"Miembro extraordinario",3383,177
"Miembro extraordinario",3918,18
"Miembro extraordinario",4135,18
"Miembro extraordinario",3364,346
"Miembro extraordinario",3365,346
"Miembro extraordinario",3355,346
"Miembro extraordinario",3356,346
"Miembro extraordinario",3359,346
"Miembro extraordinario",3373,346
"Miembro extraordinario",3374,346
"Miembro extraordinario",3382,346
"Miembro extraordinario",3383,346
"Miembro extraordinario",3397,346
"Miembro extraordinario",3401,346
"Miembro extraordinario",3415,346
"Miembro extraordinario",3438,346
"Miembro extraordinario",3453,346
"Miembro ordinario",3374,15
"Miembro ordinario",3373,15
"Miembro extraordinario",3460,346
"Miembro extraordinario",3465,346
"Miembro extraordinario",3466,346
"Miembro extraordinario",3882,346
"Miembro extraordinario",3923,346
"Miembro extraordinario",3959,346
"Miembro extraordinario",3897,346
"Miembro extraordinario",3460,177
"Miembro extraordinario",3909,346
"Miembro extraordinario",3918,346
"Miembro extraordinario",4135,346
"Miembro ordinario",3364,15
"Miembro ordinario",3365,15
"Miembro ordinario",3355,15
"Miembro ordinario",3356,15
"Miembro ordinario",3359,15
"Miembro extraordinario",3959,18
"Miembro extraordinario",3923,18
"Miembro extraordinario",3882,18
"Miembro extraordinario",3466,18
"Miembro extraordinario",3465,18
"Miembro extraordinario",3460,18
"Miembro extraordinario",3453,18
"Miembro extraordinario",3438,18
"Miembro extraordinario",3415,18
"Miembro extraordinario",3401,18
"Miembro extraordinario",3397,18
"Miembro extraordinario",3383,18
"Miembro extraordinario",3382,18
"Miembro extraordinario",3374,18
"Miembro extraordinario",3373,18
"Miembro extraordinario",3359,18
"Miembro extraordinario",3356,18
"Miembro extraordinario",3355,18
"Miembro extraordinario",3365,18
"Miembro extraordinario",3364,18
"Miembro extraordinario",4135,177
"Miembro extraordinario",3918,177
"Miembro extraordinario",3909,177
"Miembro ordinario",3383,15
"Miembro ordinario",3382,15
"Miembro extraordinario",3901,177
"Miembro extraordinario",3897,177
"Miembro extraordinario",3959,177
"Miembro extraordinario",3923,177
"Miembro extraordinario",3882,177
"Miembro extraordinario",3466,177
"Miembro extraordinario",3465,177
"Miembro extraordinario",3909,18
"Miembro ordinario",3918,15
"Miembro ordinario",3909,15
"Miembro extraordinario",3364,177
"Miembro ordinario",3901,15
"Miembro ordinario",3897,15
"Miembro ordinario",3959,15
"Miembro ordinario",3923,15
"Miembro ordinario",3882,15
"Miembro ordinario",3466,15
"Miembro ordinario",3465,15
"Miembro ordinario",3460,15
"Miembro ordinario",3453,15
"Miembro ordinario",3438,15
"Miembro extraordinario",3365,177
"Miembro extraordinario",3355,177
"Miembro extraordinario",3356,177
"Miembro extraordinario",3359,177
"Miembro extraordinario",3373,177
"Miembro extraordinario",3374,177
"Miembro extraordinario",3382,177
"Miembro ordinario",4135,15
"Miembro ordinario",3415,15
"Miembro ordinario",3401,15
"Miembro ordinario",3397,15
"Miembro extraordinario",3901,18
"Miembro extraordinario",3897,18
"Miembro ordinario",3346,121
"Miembro extraordinario",3299,116
"Miembro extraordinario",3312,116
"Miembro extraordinario",3318,116
"Miembro extraordinario",3320,116
"Miembro extraordinario",3327,116
"Miembro extraordinario",3334,116
"Miembro extraordinario",3336,116
"Miembro extraordinario",3346,116
"Miembro ordinario",3292,121
"Miembro ordinario",3275,121
"Miembro ordinario",3280,121
"Miembro ordinario",3285,121
"Miembro ordinario",3287,121
"Miembro ordinario",3301,121
"Miembro ordinario",3271,121
"Miembro ordinario",3296,121
"Miembro ordinario",3299,121
"Miembro ordinario",3312,121
"Miembro ordinario",3318,121
"Miembro ordinario",3320,121
"Miembro ordinario",3327,121
"Miembro ordinario",3334,121
"Miembro extraordinario",3292,116
"Miembro extraordinario",3275,116
"Miembro extraordinario",3280,116
"Miembro extraordinario",3285,116
"Miembro extraordinario",3287,116
"Miembro extraordinario",3301,116
"Miembro extraordinario",3271,116
"Miembro extraordinario",3296,116
"Miembro ordinario",3336,121
"Miembro extraordinario",3331,126
"Miembro ordinario",3335,123
"Miembro ordinario",3331,123
"Miembro ordinario",3321,123
"Miembro ordinario",3317,123
"Miembro ordinario",3314,123
"Miembro ordinario",3295,123
"Miembro ordinario",3303,123
"Miembro ordinario",3302,123
"Miembro ordinario",3281,123
"Miembro extraordinario",3873,126
"Miembro extraordinario",3774,126
"Miembro extraordinario",3662,126
"Miembro extraordinario",3651,126
"Miembro extraordinario",3647,126
"Miembro extraordinario",3664,126
"Miembro extraordinario",3338,126
"Miembro extraordinario",3335,126
"Miembro extraordinario",3321,126
"Miembro extraordinario",3317,126
"Miembro extraordinario",3314,126
"Miembro extraordinario",3295,126
"Miembro extraordinario",3303,126
"Miembro extraordinario",3302,126
"Miembro extraordinario",3281,126
"Miembro extraordinario",3873,117
"Miembro extraordinario",3774,117
"Miembro extraordinario",3662,117
"Miembro extraordinario",3651,117
"Miembro extraordinario",3647,117
"Miembro extraordinario",3664,117
"Miembro extraordinario",3338,117
"Miembro extraordinario",3335,117
"Miembro extraordinario",3331,117
"Miembro extraordinario",3321,117
"Miembro extraordinario",3317,117
"Miembro extraordinario",3314,117
"Miembro extraordinario",3295,117
"Miembro extraordinario",3303,117
"Miembro extraordinario",3302,117
"Miembro extraordinario",3281,117
"Miembro ordinario",3873,123
"Miembro ordinario",3774,123
"Miembro ordinario",3662,123
"Miembro ordinario",3651,123
"Miembro ordinario",3647,123
"Miembro ordinario",3664,123
"Miembro ordinario",3338,123
"Miembro ordinario",3340,130
"Miembro ordinario",3523,130
"Miembro ordinario",3527,130
"Miembro ordinario",3516,130
"Miembro ordinario",3495,130
"Miembro ordinario",3267,130
"Miembro ordinario",3541,130
"Miembro ordinario",3286,130
"Miembro ordinario",3497,130
"Miembro ordinario",3491,130
"Miembro ordinario",3272,130
"Miembro ordinario",3273,130
"Miembro ordinario",3333,120
"Miembro ordinario",3339,120
"Miembro ordinario",3561,120
"Miembro ordinario",3793,120
"Miembro extraordinario",3268,127
"Miembro extraordinario",3319,129
"Miembro extraordinario",3316,129
"Miembro extraordinario",3297,129
"Miembro extraordinario",3268,129
"Miembro extraordinario",3289,129
"Miembro extraordinario",3283,129
"Miembro extraordinario",3793,129
"Miembro extraordinario",3561,129
"Miembro extraordinario",3306,129
"Miembro extraordinario",3793,127
"Miembro extraordinario",3561,127
"Miembro extraordinario",3339,129
"Miembro extraordinario",3333,129
"Miembro extraordinario",3329,129
"Miembro extraordinario",3323,129
"Miembro extraordinario",3339,127
"Miembro extraordinario",3333,127
"Miembro extraordinario",3329,127
"Miembro extraordinario",3323,127
"Miembro ordinario",3323,120
"Miembro extraordinario",3319,127
"Miembro extraordinario",3316,127
"Miembro extraordinario",3297,127
"Miembro extraordinario",3294,127
"Miembro ordinario",3319,120
"Miembro extraordinario",3294,129
"Miembro ordinario",3316,120
"Miembro ordinario",3297,120
"Miembro ordinario",3294,120
"Miembro ordinario",3268,120
"Miembro ordinario",3289,120
"Miembro ordinario",3283,120
"Miembro ordinario",3306,120
"Miembro extraordinario",3289,127
"Miembro extraordinario",3283,127
"Miembro extraordinario",3306,127
"Miembro ordinario",3329,120
"Miembro extraordinario",NULL,129
"Miembro ordinario",NULL,120
"Miembro extraordinario",NULL,127
"Miembro ordinario",3324,123
"Miembro extraordinario",3324,126
"Miembro extraordinario",3324,332
"Miembro ordinario",3326,128
"Miembro ordinario",3282,128
"Miembro ordinario",3797,128
"Miembro ordinario",3344,128
"Miembro ordinario",3325,128
"Miembro ordinario",3269,128
"Miembro ordinario",3290,128
"Miembro ordinario",3288,128
"Miembro extraordinario",3797,358
"Miembro extraordinario",3344,358
"Miembro extraordinario",3326,358
"Miembro extraordinario",3325,358
"Miembro extraordinario",3269,358
"Miembro extraordinario",3290,358
"Miembro extraordinario",3288,358
"Miembro extraordinario",3282,358
"Miembro extraordinario",3293,358
"Miembro ordinario",3293,128
"Miembro ordinario",3311,115
"Miembro ordinario",3313,115
"Miembro extraordinario",3342,119
"Miembro extraordinario",3345,119
"Miembro extraordinario",3481,119
"Miembro extraordinario",3513,119
"Miembro extraordinario",3817,119
"Miembro extraordinario",3829,119
"Miembro ordinario",3279,115
"Miembro ordinario",3308,115
"Miembro ordinario",3328,115
"Miembro ordinario",3330,115
"Miembro ordinario",3332,115
"Miembro ordinario",3341,115
"Miembro ordinario",3342,115
"Miembro ordinario",3345,115
"Miembro ordinario",3481,115
"Miembro ordinario",3513,115
"Miembro ordinario",3817,115
"Miembro ordinario",3304,115
"Miembro extraordinario",3279,119
"Miembro extraordinario",3308,119
"Miembro extraordinario",3304,119
"Miembro extraordinario",3291,119
"Miembro extraordinario",3298,119
"Miembro extraordinario",3310,119
"Miembro extraordinario",3311,119
"Miembro ordinario",3291,115
"Miembro ordinario",3829,115
"Miembro extraordinario",3313,119
"Miembro ordinario",3298,115
"Miembro ordinario",3310,115
"Miembro extraordinario",3328,119
"Miembro extraordinario",3330,119
"Miembro extraordinario",3332,119
"Miembro extraordinario",3341,119
"Miembro extraordinario",3490,122
"Miembro extraordinario",3678,184
"Miembro extraordinario",3686,184
"Miembro extraordinario",3640,184
"Miembro extraordinario",3635,184
"Miembro extraordinario",3616,184
"Miembro extraordinario",3574,184
"Miembro extraordinario",3567,184
"Miembro extraordinario",3540,184
"Miembro extraordinario",3517,184
"Miembro extraordinario",3514,184
"Miembro extraordinario",3511,184
"Miembro extraordinario",3502,184
"Miembro extraordinario",3500,184
"Miembro extraordinario",3499,184
"Miembro extraordinario",3498,184
"Miembro extraordinario",3496,184
"Miembro extraordinario",3488,184
"Miembro extraordinario",3485,184
"Miembro extraordinario",3490,184
"Miembro extraordinario",3343,184
"Miembro extraordinario",3337,184
"Miembro extraordinario",3276,184
"Miembro extraordinario",3274,184
"Miembro extraordinario",3596,184
"Miembro extraordinario",3569,184
"Miembro ordinario",3569,108
"Miembro ordinario",3596,108
"Miembro ordinario",3274,108
"Miembro ordinario",3276,108
"Miembro ordinario",3337,108
"Miembro ordinario",3343,108
"Miembro ordinario",3490,108
"Miembro ordinario",3485,108
"Miembro ordinario",3488,108
"Miembro ordinario",3496,108
"Miembro ordinario",3498,108
"Miembro ordinario",3499,108
"Miembro ordinario",3500,108
"Miembro ordinario",3502,108
"Miembro extraordinario",3678,122
"Miembro extraordinario",3686,122
"Miembro extraordinario",3640,122
"Miembro extraordinario",3635,122
"Miembro extraordinario",3616,122
"Miembro extraordinario",3574,122
"Miembro extraordinario",3567,122
"Miembro extraordinario",3540,122
"Miembro extraordinario",3517,122
"Miembro extraordinario",3514,122
"Miembro extraordinario",3511,122
"Miembro extraordinario",3502,122
"Miembro ordinario",3511,108
"Miembro ordinario",3514,108
"Miembro ordinario",3517,108
"Miembro ordinario",3540,108
"Miembro ordinario",3567,108
"Miembro extraordinario",3500,122
"Miembro extraordinario",3499,122
"Miembro extraordinario",3498,122
"Miembro extraordinario",3496,122
"Miembro extraordinario",3488,122
"Miembro extraordinario",3485,122
"Miembro extraordinario",3343,122
"Miembro extraordinario",3337,122
"Miembro extraordinario",3276,122
"Miembro extraordinario",3274,122
"Miembro extraordinario",3596,122
"Miembro ordinario",3574,108
"Miembro ordinario",3616,108
"Miembro ordinario",3635,108
"Miembro ordinario",3640,108
"Miembro ordinario",3686,108
"Miembro ordinario",3678,108
"Miembro extraordinario",3569,135
"Miembro extraordinario",3596,135
"Miembro extraordinario",3274,135
"Miembro extraordinario",3276,135
"Miembro extraordinario",3337,135
"Miembro extraordinario",3343,135
"Miembro extraordinario",3490,135
"Miembro extraordinario",3485,135
"Miembro extraordinario",3488,135
"Miembro extraordinario",3496,135
"Miembro extraordinario",3498,135
"Miembro extraordinario",3499,135
"Miembro extraordinario",3500,135
"Miembro extraordinario",3502,135
"Miembro extraordinario",3511,135
"Miembro extraordinario",3514,135
"Miembro extraordinario",3517,135
"Miembro extraordinario",3540,135
"Miembro extraordinario",3567,135
"Miembro extraordinario",3574,135
"Miembro extraordinario",3616,135
"Miembro extraordinario",3635,135
"Miembro extraordinario",3640,135
"Miembro extraordinario",3686,135
"Miembro extraordinario",3678,135
"Miembro extraordinario",3569,122
"Miembro extraordinario",3530,101
"Miembro extraordinario",3524,101
"Miembro extraordinario",3522,101
"Miembro extraordinario",3510,101
"Miembro extraordinario",3508,101
"Miembro extraordinario",3492,101
"Miembro extraordinario",3479,101
"Miembro extraordinario",3476,101
"Miembro extraordinario",3475,101
"Miembro extraordinario",3486,101
"Miembro extraordinario",3482,101
"Miembro extraordinario",3570,101
"Miembro ordinario",3510,114
"Miembro ordinario",3522,114
"Miembro ordinario",3524,114
"Miembro ordinario",3526,114
"Miembro ordinario",3530,114
"Miembro ordinario",3531,114
"Miembro ordinario",3532,114
"Miembro ordinario",3536,114
"Miembro ordinario",3542,114
"Miembro ordinario",3544,114
"Miembro ordinario",3545,114
"Miembro ordinario",3549,114
"Miembro ordinario",3551,114
"Miembro ordinario",3575,114
"Miembro ordinario",3486,114
"Miembro ordinario",3482,114
"Miembro ordinario",3570,114
"Miembro extraordinario",3575,324
"Miembro extraordinario",3551,324
"Miembro extraordinario",3549,324
"Miembro extraordinario",3545,324
"Miembro extraordinario",3544,324
"Miembro extraordinario",3542,324
"Miembro extraordinario",3536,324
"Miembro extraordinario",3532,324
"Miembro extraordinario",3531,324
"Miembro extraordinario",3570,102
"Miembro extraordinario",3575,101
"Miembro extraordinario",3551,101
"Miembro extraordinario",3549,101
"Miembro extraordinario",3545,101
"Miembro extraordinario",3544,101
"Miembro extraordinario",3542,101
"Miembro extraordinario",3530,324
"Miembro extraordinario",3536,101
"Miembro extraordinario",3532,101
"Miembro extraordinario",3531,101
"Miembro extraordinario",3526,101
"Miembro extraordinario",3526,324
"Miembro extraordinario",3524,324
"Miembro extraordinario",3522,324
"Miembro extraordinario",3510,324
"Miembro extraordinario",3508,324
"Miembro extraordinario",3492,324
"Miembro extraordinario",3479,324
"Miembro extraordinario",3476,324
"Miembro extraordinario",3475,324
"Miembro extraordinario",3486,324
"Miembro extraordinario",3482,324
"Miembro extraordinario",3570,324
"Miembro extraordinario",3575,102
"Miembro extraordinario",3551,102
"Miembro extraordinario",3549,102
"Miembro extraordinario",3545,102
"Miembro extraordinario",3544,102
"Miembro extraordinario",3542,102
"Miembro extraordinario",3536,102
"Miembro extraordinario",3532,102
"Miembro extraordinario",3531,102
"Miembro extraordinario",3530,102
"Miembro extraordinario",3526,102
"Miembro extraordinario",3524,102
"Miembro extraordinario",3522,102
"Miembro extraordinario",3510,102
"Miembro extraordinario",3508,102
"Miembro extraordinario",3492,102
"Miembro extraordinario",3479,102
"Miembro extraordinario",3476,102
"Miembro extraordinario",3475,102
"Miembro extraordinario",3486,102
"Miembro extraordinario",3482,102
"Miembro ordinario",3475,114
"Miembro ordinario",3476,114
"Miembro ordinario",3479,114
"Miembro ordinario",3492,114
"Miembro ordinario",3508,114
"Miembro ordinario",NULL,129
"Miembro extraordinario",NULL,115
"Miembro ordinario",3309,116
"Miembro extraordinario",3309,121
"Miembro extraordinario",NULL,127
"Miembro ordinario",NULL,120
"Miembro extraordinario",NULL,129
"Miembro ordinario",NULL,115
"Miembro ordinario",NULL,116
"Miembro extraordinario",NULL,121
"Miembro extraordinario",NULL,334
"Miembro ordinario",NULL,122
"Miembro extraordinario",NULL,108
"Miembro ordinario",NULL,332
"Miembro extraordinario",NULL,123
"Miembro extraordinario",NULL,126
"Miembro extraordinario",NULL,121
"Miembro ordinario",NULL,116
"Miembro ordinario",NULL,123
"Miembro ordinario",NULL,332
"Miembro ordinario",NULL,126
"Miembro extraordinario",NULL,129
"Miembro ordinario",NULL,120
"Miembro extraordinario",NULL,127
"Miembro extraordinario",3622,129
"Miembro extraordinario",3633,151
"Miembro extraordinario",3659,151
"Miembro extraordinario",3676,151
"Miembro ordinario",3676,334
"Miembro ordinario",3659,334
"Miembro ordinario",3633,334
"Miembro ordinario",3622,334
"Miembro extraordinario",3659,129
"Miembro extraordinario",3676,129
"Miembro extraordinario",3633,129
"Miembro extraordinario",3622,151
"Miembro extraordinario",NULL,116
"Miembro ordinario",NULL,121
"Miembro extraordinario",3671,128
